gene1,gene2,lag,p-value
PET100,SNAP29,1,0.0002752692004479068
PEX13,SCN11A,1,0.00018862645615725862
PEX2,SLC27A4,1,0.0002432511570319556
PMM2,MGAT2,1,0.00020668509576322536
POLR1C,ARHGEF9,1,9.583613486392186e-05
PTEN,FH,1,7.144501718057801e-05
PTEN,OTULIN,1,0.00023366394487167835
RAI1,MMADHC,1,0.0002024959188016147
RAI1,SLC16A2,1,0.0002814825982278883
RHOBTB2,CTCF,1,0.00032000223819753386
SCARF2,CTC1,1,0.00029967604459676776
SCARF2,NBN,1,0.0001010250679149257
SCN11A,MAPK10,1,0.00026389444575895463
SETBP1,ARHGEF9,1,0.0001773028091335229
SETD5,FANCC,1,0.00031903665896918486
SGPL1,SLC12A6,1,0.00017375805213835696
SLC12A6,PEX2,1,0.00015302830445698316
SLC16A2,TXNL4A,1,8.853955991865895e-05
SLC6A9,MNX1,1,0.0001096345366213239
TAT,GLB1,1,0.00021558105265758137
TCF12,CDH23,1,0.00017773554245594176
TCF12,CDKL5,1,0.00023110900958951154
TGFB2,ASCL1,1,5.110184322883175e-06
TH,NSDHL,1,0.0002444690361389953
TIMM8A,PACS1,1,0.00021846897473804945
TSEN54,MGAT2,1,0.00029108267284460286
UBE3B,RAB40AL,1,9.086218346893582e-05
UGT1A1,ATP1A3,1,9.188862116356519e-05
ADGRG6,TH,1,0.00021379739131501959
ADPRHL2,CLP1,1,0.0003108785110536736
ADPRHL2,NDP,1,0.00014567639031926662
ADPRHL2,NOTCH2,1,0.00018286358956682986
ANO5,PGM1,1,0.00030757820941212596
ANO5,TP63,1,0.00017709596343174424
ANO5,WNT7A,1,1.2555008992920223e-05
APOPT1,TGFB2,1,0.00015805647529995156
APTX,PCGF2,1,6.303136261392752e-05
ARID2,HDAC4,1,0.0002937089004785352
ARMC9,RRM2B,1,0.0002476177565771894
AUH,ADPRHL2,1,1.594246582547478e-05
BBS12,DYNC1H1,1,0.0003052947959013447
BGN,MMP13,1,3.6786756869903934e-06
BHLHA9,ATP1A1,1,0.0001340063017244361
BHLHA9,SCN11A,1,0.00019205204216909808
CACNA1C,UGT1A1,1,7.628442405055677e-05
CHL1,MMAA,1,0.00023884155854952063
CRADD,IFIH1,1,0.00020944952177310856
CRADD,MNX1,1,5.718724048946407e-05
DCC,FTO,1,4.144063837803166e-05
DOLK,ATP2A2,1,9.580678798096758e-05
DPP6,EBP,1,0.00020616150401548504
EEF1A2,MMAA,1,8.469309782356214e-05
EOGT,ITPR1,1,0.0002924220855946392
EOGT,SPR,1,0.000277209292052164
ERCC6L2,NBAS,1,1.2160008585407686e-05
EXT2,CRADD,1,5.712765575499957e-05
FAM20C,GRM6,1,0.0001677496968390714
FAM20C,TAF2,1,0.0001827354542915089
FBXO31,DDB2,1,7.019413645224265e-05
FMN2,ARID2,1,0.00027692545351289864
FOXE3,TAT,1,7.450905666282554e-05
FUT8,EHMT1,1,0.00018140359117582217
FUT8,SLC12A6,1,0.00013580513998986098
GJA1,COLEC11,1,0.00017861593269782685
GJA1,GLB1,1,0.00028927637107547394
GLB1,FOXRED1,1,2.429805713362452e-05
GNPAT,KIF2A,1,6.150974847504871e-05
GPAA1,FANCC,1,0.00012544326796728566
GRIK2,SLC27A4,1,0.00031762417487084997
GRIK2,TGFB2,1,0.00022195458224038108
HDAC8,RHOBTB2,1,0.00020149956213860547
HERC1,TSEN54,1,0.00012693175395639045
HMGCL,KIF2A,1,0.00031020966927521195
HNMT,PEX13,1,5.025023684631694e-05
HRAS,KIF2A,1,0.0002973075696458395
HYDIN,TGFB2,1,2.6453767136960122e-05
IRX5,EBP,1,8.11316051178627e-05
KIF2A,ALX3,1,0.0002844071447927601
KIF5A,IRX5,1,0.00021115572753946808
LARP7,GRIN2A,1,5.214887630809967e-05
LARP7,SLC12A6,1,0.00031161242044234957
LHX3,OTUD6B,1,0.00021318658418242688
MMAA,NOTCH2,1,1.7529739455802206e-06
MMADHC,ADPRHL2,1,4.811283920765822e-05
MMP13,SPAG1,1,0.00022788729802072945
NAGLU,TH,1,0.000281461977278815
NBN,C5orf42,1,0.00014869604599162042
NBN,PITX2,1,0.00032049754199918175
NSDHL,FTO,1,0.0002222752614257982
NSDHL,RRM2B,1,9.781403203305833e-05
OTUD6B,MGAT2,1,5.498052504432879e-05
OTUD6B,SCN1A,1,9.806643527823334e-05
PACS1,DNAJC19,1,0.0001387148619109584
PACS1,SYNJ1,1,0.00023695898156629534
PCGF2,ARHGEF9,1,0.00021725381011552334
PCGF2,PEX14,1,0.0002639546016323735
PET100,PKD1L1,1,4.485202579466144e-05
PEX1,GRM6,1,0.0002275701572896196
PEX13,SCN11A,1,0.00018862645615725862
PITX3,DPP6,1,0.00024572895232015065
PMM2,MGAT2,1,0.00020668509576322536
POLR1C,ARHGEF9,1,9.583613486392186e-05
POLR1C,TSC2,1,2.1482885968396827e-05
PTEN,OTULIN,1,0.00023366394487167835
RAI1,MMADHC,1,0.0002024959188016147
RPS6KA3,TAF2,1,0.00016915823161345743
SCARF2,NBN,1,0.0001010250679149257
SETBP1,ARHGEF9,1,0.0001773028091335229
SETD5,FANCC,1,0.00031903665896918486
SETD5,TBX22,1,6.238275287265124e-05
SGPL1,SLC12A6,1,0.00017375805213835696
SNX14,PKD1L1,1,0.00026870438837462226
SOBP,RRM2B,1,9.552271778072421e-06
SPR,WNT3,1,0.0003149430291930282
SYNJ1,STX1B,1,6.107507478524352e-05
TAT,GLB1,1,0.00021558105265758137
TAT,GRIA3,1,2.859596810032618e-05
TH,ITPR1,1,3.158671818999115e-06
TH,NSDHL,1,0.0002444690361389953
TIMM8A,PACS1,1,0.00021846897473804945
TMEM165,GRIK2,1,8.189327462869019e-05
TRIT1,OTUD6B,1,1.0289302404251928e-05
TSEN54,MGAT2,1,0.00029108267284460286
UGT1A1,ATP1A3,1,9.188862116356519e-05
UGT1A1,DLG2,1,5.750474283907383e-05
WNT3,IRX5,1,4.51769206642238e-05
ADGRG6,TH,1,0.00021379739131501959
ADPRHL2,CLP1,1,0.0003108785110536736
ADPRHL2,NDP,1,0.00014567639031926662
ALPL,KIF5A,1,0.00010670074138257124
ALX3,B3GLCT,1,0.00022768379411396405
ANO5,PGM1,1,0.00030757820941212596
ANO5,WNT7A,1,1.2555008992920223e-05
APTX,CNOT3,1,0.00011110931858583719
APTX,PCGF2,1,6.303136261392752e-05
ARMC9,RRM2B,1,0.0002476177565771894
ARSA,NDP,1,1.6976428686427866e-05
ASAH1,ATP1A1,1,0.00013474966365094172
AUH,ADPRHL2,1,1.594246582547478e-05
BHLHA9,ATP1A1,1,0.0001340063017244361
CACNA1C,EVC2,1,0.00018637620659110957
CACNA1C,FBP1,1,6.791942793862834e-05
CACNA1C,UGT1A1,1,7.628442405055677e-05
CASP2,NAGLU,1,0.00017841758676932423
CCDC103,SPAG1,1,0.00022788729802077705
CHL1,KCNK9,1,0.0001035236631979487
CHL1,MMAA,1,0.00023884155854952063
CHL1,PAX6,1,0.00019740147115705487
CRADD,IFIH1,1,0.00020944952177310856
CYP27A1,FMN2,1,0.00012333665052447637
CYP7B1,HRAS,1,0.0001090164344068943
DBT,PITX2,1,9.883033099210246e-05
DCC,FTO,1,4.144063837803166e-05
DNMT3B,PEX14,1,5.3557599165949795e-05
DPYD,KIF5A,1,0.0002278421129085769
DYNC2H1,TMEM165,1,0.00019473669866810225
EEF1A2,IDS,1,6.67466415535058e-05
EEF1A2,MMAA,1,8.469309782356214e-05
EXT2,CRADD,1,5.712765575499957e-05
EXT2,TLK2,1,0.00020300944555188505
EXT2,TPI1,1,4.553600260243839e-05
FMN2,ALG8,1,2.3711963430213683e-05
FMN2,ARID2,1,0.00027692545351289864
FOXE3,TAT,1,7.450905666282554e-05
FOXE3,TMEM67,1,0.00018375636677506025
FUT8,EHMT1,1,0.00018140359117582217
GJA1,COLEC11,1,0.00017861593269782685
GRIA3,C12orf4,1,0.00015537803045715607
GRIA3,TUBGCP6,1,0.0001529842969966276
