gene1,gene2,lag,p-value
CTSD,GLI3,1,7.891846125399587e-05
DNMT3B,PEX14,1,5.3557599165949795e-05
EBF3,IHH,1,0.00014715592123711697
EBP,UBE3B,1,0.00010272129594535078
FBXL4,EBF3,1,9.779104814122476e-05
GLI3,KLHL15,1,0.0002731885130393761
GLI3,NDUFS3,1,0.0002551799228620644
GNPTAB,CHD4,1,0.00025234484123454984
GNPTAB,HADHA,1,0.00018862212388300636
GNPTAB,PIGV,1,6.206225095156529e-05
HSF4,DLG3,1,0.00021167770322657255
HSF4,PIGV,1,0.0002445634010443328
IFT43,DIP2B,1,0.0002299512050830439
IFT43,EVC2,1,0.0001097584993572374
